numTriplets	MutationFrequency1	MutationFrequency0	Overlap	typeTriplets	Type	AverageOverlapPMN	MutationFrequencyDifferenceRatio	MutationFrequencyDifference	Coverage	SetScore	Concordance	CooccurrenceRatio	MutationFrequencies	Somatic	CombinedScore	GeneSet	Probability	Gene0	Gene1	RoundedLogPCov
6	9	9	3	set(['CooccurringCooccurringCooccurring'])	Cooccurring	14.0	0.0	0	15	24.216436572685225	False	0.2	[9, 9]	2	121.08218286342613	frozenset(['OBSCN', 'DST'])	0.02110285398611092	OBSCN	DST	2.9
6	13	22	6	set(['CooccurringCooccurringCooccurring'])	Cooccurring	8.833333333333334	0.3103448275862069	9	29	16.796028626368503	False	0.20689655172413793	[22, 13]	2	81.18080502744776	frozenset(['TUBBP5', 'IDUA'])	0.027383407592848463	TUBBP5	IDUA	3.0
5	16	11	4	set(['CooccurringCooccurringCooccurring'])	Cooccurring	9.0	0.21739130434782608	5	23	16.070837128651938	False	0.17391304347826086	[11, 16]	2	92.40731348974865	frozenset(['GPX1', 'MT-ND5'])	0.049074641539509398	GPX1	MT-ND5	2.7
5	11	22	6	set(['CooccurringCooccurringCooccurring'])	Cooccurring	8.333333333333334	0.4074074074074074	11	27	15.281304749815588	False	0.2222222222222222	[22, 11]	2	68.76587137417015	frozenset(['TUBBP5', 'MT-RNR2'])	0.010606801049191792	TUBBP5	MT-RNR2	3.4
5	11	12	4	set(['CooccurringCooccurringCooccurring'])	Cooccurring	11.5	0.05263157894736842	1	19	16.840108577653865	False	0.21052631578947367	[12, 11]	2	79.99051574385587	frozenset(['KRTAP10-7', 'MT-RNR2'])	0.017718668380854383	KRTAP10-7	MT-RNR2	3.0
5	13	12	6	set(['CooccurringCooccurringCooccurring'])	Cooccurring	9.166666666666666	0.05263157894736842	1	19	17.060911783855477	False	0.3157894736842105	[12, 13]	2	54.02622064887568	frozenset(['KRTAP10-7', 'IDUA'])	0.00075890902757095875	KRTAP10-7	IDUA	4.4
5	11	16	5	set(['CooccurringCooccurringCooccurring'])	Cooccurring	9.6	0.22727272727272727	5	22	21.00622753193693	False	0.22727272727272727	[16, 11]	2	92.42740114052249	frozenset(['MUC16', 'AHNAK2'])	0.010909143574168343	MUC16	AHNAK2	3.3
5	9	19	5	set(['CooccurringCooccurringCooccurring'])	Cooccurring	9.8	0.43478260869565216	10	23	19.311393141272358	False	0.21739130434782608	[19, 9]	2	88.83240844985285	frozenset(['UPF3A', 'FAT4'])	0.0087495583730815302	UPF3A	FAT4	3.4
4	11	11	4	set(['CooccurringCooccurringCooccurring'])	Cooccurring	11.25	0.0	0	18	16.387697259140438	False	0.2222222222222222	[11, 11]	2	73.74463766613198	frozenset(['MT-ND4', 'MT-RNR2'])	0.012665409766881595	MT-ND4	MT-RNR2	3.2
4	19	19	7	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	Cooccurring	8.285714285714286	0.0	0	31	17.216957483148487	False	0.22580645161290322	[19, 19]	2	76.24652599680044	frozenset(['OTOP1', 'UPF3A'])	0.029226199016906942	OTOP1	UPF3A	3.0
4	9	14	4	set(['CooccurringCooccurringCooccurring'])	Cooccurring	11.5	0.2631578947368421	5	19	24.239044484528698	False	0.21052631578947367	[14, 9]	2	115.13546130151133	frozenset(['TTN', 'FAT4'])	0.014492026102694492	TTN	FAT4	3.1
