MutationFrequencyDifferenceRatio	Concordance	Probability	Gene0	Gene1	CooccurrenceRatio	MutationFrequency1	MutationFrequency0	MutationFrequencies	Somatic	Overlap	Coverage	RoundedLogPCov	MutationFrequencyDifference	Type	GeneSet
0.4624107517849643	True	0.0082761073122842362	CDH11loss	BCL9loss	0.08231835363292735	738	1839	[1839, 738]	0	196	2381	5.5	1101	MutuallyExclusive	frozenset(['CDH11loss', 'BCL9loss'])
0.48419864559819414	True	0.0058172448660004164	MLL3loss	EIF4A2loss	0.016930022573363433	665	236	[236, 665]	0	15	886	5.2	429	MutuallyExclusive	frozenset(['MLL3loss', 'EIF4A2loss'])
0.6452173913043479	True	0.0378443387724594	MLL2loss	CEP89loss	0.022608695652173914	959	217	[217, 959]	0	26	1150	4.5	742	MutuallyExclusive	frozenset(['MLL2loss', 'CEP89loss'])
0.7117177097203728	True	0.019290361019167764	MLL3loss	PPP2R1Aloss	0.02596537949400799	1305	236	[236, 1305]	0	39	1502	4.9	1069	MutuallyExclusive	frozenset(['MLL3loss', 'PPP2R1Aloss'])
0.6887791107974595	True	0.0021960095152028045	MLL3loss	TFPTloss	0.021877205363443897	1212	236	[236, 1212]	0	31	1417	5.8	976	MutuallyExclusive	frozenset(['MLL3loss', 'TFPTloss'])
0.4733169129720854	True	0.00088055022818979585	BCL9loss	MAFloss	0.07922824302134647	1891	738	[738, 1891]	0	193	2436	6.4	1153	MutuallyExclusive	frozenset(['BCL9loss', 'MAFloss'])
0.7718332022029898	True	0.019382005568737402	MALAT1loss	HLA-Aloss	0.015735641227380016	155	1136	[1136, 155]	0	20	1271	4.8	981	MutuallyExclusive	frozenset(['MALAT1loss', 'HLA-Aloss'])
0.7204152249134949	True	0.0032485838118648108	MLL2loss	KLK2loss	0.020761245674740483	1258	217	[217, 1258]	0	30	1445	5.6	1041	MutuallyExclusive	frozenset(['MLL2loss', 'KLK2loss'])
0.16737830913748933	True	0.022510345924004593	ATRXloss	BRAFloss	0.10418445772843724	1097	1489	[1489, 1097]	0	244	2342	5.0	392	MutuallyExclusive	frozenset(['ATRXloss', 'BRAFloss'])
0.8649725959143	True	0.035357523461162083	MAFloss	HLA-Aloss	0.01943198804185351	155	1891	[1891, 155]	0	39	2007	4.8	1736	MutuallyExclusive	frozenset(['MAFloss', 'HLA-Aloss'])
0.26014319809069214	True	9.4559072951379232e-05	HERPUD1loss	NOTCH2loss	0.09785202863961814	1053	1707	[1707, 1053]	0	246	2514	7.4	654	MutuallyExclusive	frozenset(['HERPUD1loss', 'NOTCH2loss'])
