Gene	Entries
PKHD1L1	set(['EGFR(A)'])
APOB	set(['RB1(D)', 'FAF1(D)'])
PCDHB3	set(['PTEN'])
AHNAK	set(['RB1(D)', 'CDK4(A)', 'EGFR(A)'])
MST1	set(['MDM4(A)', 'PDGFRA(A)'])
SPTA1	set(['FRMPD4(D)', 'IDH1', 'INPP5A,NKX6-2,TTC40,LOC399829,GPR123,KNDC1,UTF1,VENTX,MIR202,ADAM8,TUBGCP2,ZNF511,CALY,PRAP1,C10orf125,ECHS1,MIR3944,PAOX,MTG1(D),PAOX(D)', 'FAF1(D)', 'CDKN2A(D)', 'MET,CAPZA2,ST7-AS1,ST7,ST7-OT4(A)'])
XDH	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)'])
EPPK1	set(['MDM4(A)', 'FAF1(D)'])
PCLO	set(['ARID2(D)', 'MDM2(A)', 'MIR3201(D),FAM19A5(D),LOC339685(D)', 'PDPN,PRDM2(A)', 'TP53(D)'])
NF1	set(['LINC00290(D)', 'LRP1B(D)', 'FRMPD4(D)', 'MDM4(A)', 'CDK4(A)', 'SOX2-OT(A),PIK3CA(A)', 'EGFR(A)'])
TP53(D)	set(['LRP2', 'DNAH3', 'ZBTB20(D),LSAMP(D)', 'RPL5,FAM69A,SNORA66(D)', 'SLBP,TMEM129,TACC3,FGFR3,LETM1,WHSC1,SCARNA22(A)', 'MDM2(A)', 'EGFR', 'FLG2', 'DOCK5', 'SEMG1', 'TCHH', 'MXRA5', 'SDCCAG8,MIR4677,AKT3,LOC339529,ZNF238,C1orf100,ADSS(A)', 'TMEM132D', 'PCLO', 'HMCN1', 'TAF1L', 'ADAM29', 'EGFR(A)', 'RIMS2', 'MIR3201(D),FAM19A5(D),LOC339685(D)'])
KIF2B	set(['RB1(D)', 'PDGFRA(A)'])
TRPM2	set(['PDGFRA(A)'])
TRPM3	set(['PTEN'])
