Gene0	Gene1	Weight	cometProbability	mutexProbability	Frequency	MinProbability
CYTSBloss	KMT2Aloss	3.14773314463	0.0429493766248	NA	1	0.0429493766248
HOXC13loss	CYTSBloss	3.35069613256	0.0350599392385	NA	1	0.0350599392385
CEP110loss	PICALMloss	3.98831508913	0.0185309107636	NA	1	0.0185309107636
MLL3loss	CHEK2loss	NA	NA	0.03406152484486108	1	0.03406152484486108
CBFBloss	CYTSBloss	3.97828107413	0.0187177861877	NA	1	0.0187177861877
MLL2loss	WWTR1loss	4.17137775455	0.0154309853613	0.010145313115863051	2	0.010145313115863051
HOXD11loss	HLA-Aloss	3.91322207816	0.0199760329175	0.013494063608792697	2	0.013494063608792697
BCL9loss	CYLDloss	3.40509718	0.0332035932001	0.018265027843714244	2	0.018265027843714244
AMER1loss	MLL3loss	3.89135739747	0.0204176124041	0.012509910316018303	2	0.012509910316018303
MDS2loss	MYST4loss	3.32999943525	0.0357931252817	NA	1	0.0357931252817
PAX5loss	CYTSBloss	3.80942303352	0.0221609614011	NA	1	0.0221609614011
GPC3loss	CYTSBloss	4.88200637252	0.00758178686821	NA	1	0.00758178686821
NUTM1loss	MYST4loss	5.37753570999	0.00461919094204	NA	1	0.00461919094204
CEP110loss	SSX1loss	3.18458607351	0.0413953768981	NA	1	0.0413953768981
CDH11loss	BCL9loss	4.20570115341	0.0149103279759	0.008276107312284236	2	0.008276107312284236
MLL3loss	TFPTloss	5.66797599485	0.0034548508402	0.0021960095152028045	2	0.0021960095152028045
MLL2loss	GATA2loss	NA	NA	0.04568321286035894	1	0.04568321286035894
WASloss	CYTSBloss	3.43309156375	0.032286969095	NA	1	0.032286969095
NF2loss	MYST4loss	7.67095123783	0.000466174170222	NA	1	0.000466174170222
TBL1XR1loss	MLL3loss	6.9139062259	0.000993867931427	0.0007124434330710127	2	0.0007124434330710127
SDHBloss	HLA-Aloss	4.23993727681	0.0144084955616	0.008994980523014527	2	0.008994980523014527
WT1loss	HLA-Aloss	NA	NA	0.04323228846549709	1	0.04323228846549709
KAT6Bloss	CEP110loss	3.07133410639	0.0463592653911	NA	1	0.0463592653911
MLL3loss	MYBloss	NA	NA	0.033790405095669045	1	0.033790405095669045
FOXO3loss	MLL3loss	3.84351044094	0.0214182816071	0.01267297368152975	2	0.01267297368152975
MYST4loss	POU2AF1loss	4.15243243736	0.0157261171286	NA	1	0.0157261171286
CDX2loss	MLLloss	3.40533422637	0.0331957233415	NA	1	0.0331957233415
CYTSBloss	LHFPloss	4.36494976154	0.012715293956	NA	1	0.012715293956
MYST4loss	LHFPloss	4.26174186925	0.0140977246177	NA	1	0.0140977246177
CYTSBloss	HRASloss	3.66855884164	0.0255132120436	NA	1	0.0255132120436
CEP110loss	GATA1loss	3.18458607351	0.0413953768981	NA	1	0.0413953768981
SDHAF2loss	HLA-Aloss	3.77270717701	0.0229897416674	0.014812796151650948	2	0.014812796151650948
CYTSBloss	FOXO1loss	3.28150583475	0.0375716375109	NA	1	0.0375716375109
HLA-Aloss	IDH1loss	3.89692928139	0.0203041641913	0.01276259164670885	2	0.01276259164670885
FANCAloss	CYTSBloss	3.56971142143	0.0281639800288	NA	1	0.0281639800288
MLL3loss	ETV6loss	3.79934554642	0.0223854172798	0.013999608817577456	2	0.013999608817577456
LMO2loss	HLA-Aloss	NA	NA	0.04274563929582446	1	0.04274563929582446
MYST4loss	LCP1loss	3.02384939833	0.048613724135	NA	1	0.048613724135
HLA-Aloss	TNFRSF14loss	5.41692436363	0.00444078390196	0.0028626336059103244	2	0.0028626336059103244
FANCAloss	BCL9loss	3.95861423737	0.0190895495553	0.01053616326123044	2	0.01053616326123044
CDH1loss	PDE4DIPloss	NA	NA	0.044232480954931624	1	0.044232480954931624
HOXA13loss	HLA-Aloss	NA	NA	0.0465571710622634	1	0.0465571710622634
MYST4loss	CNTRLloss	3.42425758934	0.0325734548948	NA	1	0.0325734548948
RAD51Bloss	MYST4loss	4.38717644445	0.012435792847	NA	1	0.012435792847
CEP110loss	CCND3loss	4.66181936574	0.00944925510231	NA	1	0.00944925510231
MDS2loss	FAM123Bloss	3.3665577735	0.0345082182384	NA	1	0.0345082182384
MLL3loss	VHLloss	5.01017150361	0.00666975932034	0.0040917885801899645	2	0.0040917885801899645
CEP110loss	NUTM2Bloss	3.02194559556	0.048706363233	NA	1	0.048706363233
MLL2loss	C2orf44loss	3.86307430146	0.0210033295998	0.013684641098284997	2	0.013684641098284997
NKX2-1loss	RB1loss	3.17867763706	0.0416406828256	NA	1	0.0416406828256
FAM22Aloss	BCRloss	3.15957665233	0.0424437057217	NA	1	0.0424437057217
MLL3loss	WASloss	3.74561553815	0.023621084893	0.01429908311179327	2	0.01429908311179327
SDHDloss	MYST4loss	5.29755339503	0.00500382131712	NA	1	0.00500382131712
MYST4loss	NUTM2Aloss	5.66434688303	0.00346741165874	NA	1	0.00346741165874
BCL7Aloss	CYTSBloss	3.94632707599	0.0193255528675	NA	1	0.0193255528675
NUTM2Aloss	CYTSBloss	3.10879570191	0.0446547005419	NA	1	0.0446547005419
MLL3loss	TFRCloss	7.5998701982	0.000500516397156	0.0003568415379897388	2	0.0003568415379897388
MLL3loss	CLP1loss	NA	NA	0.044603222657338494	1	0.044603222657338494
MYST4loss	TCL1Aloss	3.90433934007	0.0201542652094	NA	1	0.0201542652094
CNBPloss	MLL3loss	11.8017686991	7.49129634187e-06	5.872498190529446e-06	2	5.872498190529446e-06
MLL2loss	CHEK2loss	3.79011298245	0.022593049089	0.013402948127240372	2	0.013402948127240372
MLL2loss	NF2loss	NA	NA	0.04473247008555932	1	0.04473247008555932
MLL3loss	GMPSloss	3.84019775042	0.0214893513967	0.013817247246064075	2	0.013817247246064075
MLL3loss	GATA2loss	12.9376542869	2.40573692679e-06	1.9073072291262304e-06	2	1.9073072291262304e-06
ELF4loss	CYTSBloss	3.01977160858	0.0488123654146	NA	1	0.0488123654146
