02Concordance	AverageTotalEdgeBetweennessCentrality	MutationFrequency1	MutationFrequency0	Overlap	MutationFrequency2	01Concordance	MutationFrequencyDifference	Type	AverageOverlapPMN	AverageSetScore	MutationFrequencyDifferenceRatio	AverageCombinedScore	TripletScore	Coverage	AverageAverageNodeClosenessCentrality	12Type	SetScore	Concordance	AverageAverageNodeClusteringCoefficient	RoundedLogPCov	CooccurrenceRatio	MutationFrequencies	Somatic	CombinedScore	12Concordance	AverageRoundedLogPCov	ID	GeneSet	Probability	TripletType	Gene0	Gene1	Gene2	AverageCoverage	01Type	02Type	AverageCooccurrenceRatio
False	0	5	7	3	5	False	2	Cooccurring	237.0	23.983490771064638	0.18181818181818182	66.31032742514863	10.470051698707678	11	0	Cooccurring	36.17614374504868	False	0	inf	0.2727272727272727	[7, 5, 5]	3	132.64586039851181	False	6.333333333333333	103	set(['KIAA1409', 'DOCK4', 'ZNF292'])	5.1091996144160529e-17	CooccurringCooccurringCooccurring	KIAA1409	DOCK4	ZNF292	8	Cooccurring	Cooccurring	0.36507936507936506
False	0	5	9	2	5	False	4	Cooccurring	303.0	24.54243245297467	0.3076923076923077	92.81116344130959	17.29400561018191	13	0	Cooccurring	38.05655017740212	False	0	inf	0.15384615384615385	[9, 5, 5]	3	247.3675761531138	False	5.366666666666667	104	set(['EVPL', 'DOCK10', 'DOCK4'])	6.9453571692735482e-14	CooccurringCooccurringCooccurring	EVPL	DOCK10	DOCK4	10	Cooccurring	Cooccurring	0.26515151515151514
False	0	7	20	3	7	False	13	Cooccurring	201.66666666666666	22.521671991094326	0.5	114.25706267570558	18.83358175973169	26	0	Cooccurring	34.66786871181964	False	0	inf	0.11538461538461539	[20, 7, 7]	3	300.4548621691035	False	6.066666666666666	105	set(['LRP2', 'AOX1', 'GPR133'])	4.1313926749140439e-15	CooccurringCooccurringCooccurring	LRP2	AOX1	GPR133	19	Cooccurring	Cooccurring	0.20685111989459815
False	0	6	5	2	5	False	1	Cooccurring	303.0	24.73343534190919	0.1	79.52097657418362	13.869937774566909	10	0	Cooccurring	38.18616746486831	False	0	inf	0.2	[5, 6, 5]	3	190.93083732434155	False	5.733333333333334	106	set(['PCDHA12', 'HERC2', 'DOCK10'])	2.9884114250906742e-15	CooccurringCooccurringCooccurring	PCDHA12	HERC2	DOCK10	8	Cooccurring	Cooccurring	0.3419312169312169
False	0	5	5	2	6	False	0	Cooccurring	300.0	23.829161582867	0.0	89.56058703768785	18.03233296060829	11	0	Cooccurring	36.45064706894551	False	0	inf	0.18181818181818182	[5, 5, 6]	3	200.47855887920028	False	4.966666666666668	107	set(['BPTF', 'PLCB3', 'GRHL3'])	7.1124443161374999e-13	CooccurringCooccurringCooccurring	BPTF	PLCB3	GRHL3	8	Cooccurring	Cooccurring	0.2824074074074074
False	0	5	5	2	5	False	0	Cooccurring	292.5	23.587624923259785	0.0	81.06178047924853	15.999035620904316	10	0	Cooccurring	35.38160872141234	False	0	inf	0.2	[5, 5, 5]	3	176.9080436070617	False	5.066666666666666	131	set(['ZNF318', 'RPGRIP1L', 'SLC4A11'])	2.38246128517579e-13	CooccurringCooccurringCooccurring	ZNF318	RPGRIP1L	SLC4A11	7	Cooccurring	Cooccurring	0.30952380952380953
False	0	5	5	2	7	False	0	Cooccurring	292.5	22.787893970109035	0.0	91.077137484665	18.71448030506815	12	0	Cooccurring	34.182012291686206	False	0	inf	0.16666666666666666	[5, 5, 7]	3	205.09207375011724	False	4.866666666666667	132	set(['SLC4A11', 'RPGRIP1L', 'PCDHA1'])	1.7340235594285218e-12	CooccurringCooccurringCooccurring	SLC4A11	RPGRIP1L	PCDHA1	9	Cooccurring	Cooccurring	0.2611111111111111
False	0	5	5	2	5	False	0	Cooccurring	297.0	24.523898894730024	0.0	98.0955955789201	22.812929204400024	11	0	Cooccurring	36.75584126833309	False	0	inf	0.18181818181818182	[5, 5, 5]	3	202.157126975832	False	4.3	133	set(['PRPF8', 'FHDC1', 'ZFC3H1'])	5.670277888745538e-11	CooccurringCooccurringCooccurring	PRPF8	FHDC1	ZFC3H1	8	Cooccurring	Cooccurring	0.25
False	0	5	5	2	5	False	0	Cooccurring	297.0	24.610486577309633	0.0	98.44194630923853	22.893475885869428	11	0	Cooccurring	36.88572279220251	False	0	inf	0.18181818181818182	[5, 5, 5]	3	202.87147535711378	False	4.3	134	set(['PRPF8', 'FHDC1', 'KIF1B'])	5.670277888745538e-11	CooccurringCooccurringCooccurring	PRPF8	FHDC1	KIF1B	8	Cooccurring	Cooccurring	0.25
False	0	6	5	2	5	False	1	Cooccurring	104.5	23.663662278546397	0.1	75.56381855497224	13.1797357944719	10	0	Cooccurring	37.91814501254825	False	0	inf	0.2	[5, 6, 5]	3	189.59072506274126	False	5.733333333333334	135	set(['KDM5D', 'CCDC60', 'KIF1B'])	2.9884114250906742e-15	CooccurringCooccurringCooccurring	KDM5D	CCDC60	KIF1B	8	Cooccurring	Cooccurring	0.3419312169312169
False	0	6	5	3	7	False	1	Cooccurring	225.33333333333334	21.676010207089195	0.08333333333333333	65.05012756096208	10.49195605821969	12	0	Cooccurring	32.473251170911766	False	0	inf	0.25	[5, 6, 7]	3	129.89300468364706	False	6.2	137	set(['RRP1B', 'CARD11', 'NACA'])	2.0308307726588211e-16	CooccurringCooccurringCooccurring	RRP1B	CARD11	NACA	9	Cooccurring	Cooccurring	0.3361111111111111
False	0	6	6	2	7	False	0	Cooccurring	328.5	21.552503922429555	0.0	69.49549255265718	11.51858992585478	12	0	Cooccurring	37.61577025551962	False	0	inf	0.16666666666666666	[6, 6, 7]	3	225.69462153311773	False	6.033333333333334	138	set(['ACRC', 'CARD11', 'NACA'])	8.0637635928726167e-16	CooccurringCooccurringCooccurring	ACRC	CARD11	NACA	9	Cooccurring	Cooccurring	0.3111111111111111
False	0	7	5	3	6	False	2	Cooccurring	225.33333333333334	22.03526800783378	0.16666666666666666	66.06802466307174	10.65613301017286	12	0	Cooccurring	33.012137872028646	False	0	inf	0.25	[5, 7, 6]	3	132.04855148811458	False	6.2	139	set(['ZNF536', 'NACA', 'CARD11'])	2.0308307726588211e-16	CooccurringCooccurringCooccurring	ZNF536	NACA	CARD11	9	Cooccurring	Cooccurring	0.3361111111111111
False	0	6	5	3	6	False	1	Cooccurring	243.33333333333334	21.907993859900866	0.1	54.49710274219683	7.604246894260022	10	0	Cooccurring	33.23697906516316	False	0	inf	0.3	[5, 6, 6]	3	110.78993021721054	False	7.166666666666667	140	set(['PCDHB3', 'SBF1', 'RB1CC1'])	1.4022391423460278e-19	CooccurringCooccurringCooccurring	PCDHB3	SBF1	RB1CC1	8	Cooccurring	Cooccurring	0.42658730158730157
False	0	6	6	3	9	False	0	Cooccurring	243.33333333333334	23.059875859369043	0.0	84.65984198760636	14.513115769303948	15	0	Cooccurring	34.511198659635646	False	0	inf	0.2	[6, 6, 9]	3	172.5559932981782	False	5.833333333333333	141	set(['SBF1', 'RB1CC1', 'PKD1L1'])	4.5863822215948107e-15	CooccurringCooccurringCooccurring	SBF1	RB1CC1	PKD1L1	11	Cooccurring	Cooccurring	0.27777777777777773
False	0	10	8	2	5	False	2	Cooccurring	291.5	23.2221233514816	0.125	96.08020935707741	16.95533106301366	16	0	Cooccurring	35.905886126007566	False	0	inf	0.125	[8, 10, 5]	3	287.2470890080605	False	5.666666666666667	142	set(['LRRIQ1', 'SYNE2', 'SRMS'])	1.8076605981740835e-14	CooccurringCooccurringCooccurring	LRRIQ1	SYNE2	SRMS	12	Cooccurring	Cooccurring	0.25
False	0	5	5	2	5	False	0	Cooccurring	295.0	23.24478051943271	0.0	67.14951120717951	11.511344778373632	9	0	Cooccurring	35.189144741758525	False	0	inf	0.2222222222222222	[5, 5, 5]	3	158.35115133791336	False	5.833333333333333	143	set(['C7', 'CAND1', 'WHSC1L1'])	1.0010306173225723e-15	CooccurringCooccurringCooccurring	C7	CAND1	WHSC1L1	7	Cooccurring	Cooccurring	0.36904761904761907
False	0	5	8	3	5	False	3	Cooccurring	209.33333333333334	23.369981927534468	0.2727272727272727	61.680940615321475	8.769801983221061	11	0	Cooccurring	35.37639730302084	False	0	inf	0.2727272727272727	[8, 5, 5]	3	129.7134567777431	False	7.033333333333334	144	set(['CHD5', 'CAND1', 'WHSC1L1'])	4.5751560562937954e-19	CooccurringCooccurringCooccurring	CHD5	CAND1	WHSC1L1	8	Cooccurring	Cooccurring	0.391005291005291
False	0	6	6	2	7	False	0	Cooccurring	289.5	22.41658154384065	0.0	72.12735826053388	11.954810761414453	12	0	Cooccurring	34.279011769672465	False	0	inf	0.16666666666666666	[6, 6, 7]	3	205.6740706180348	False	6.033333333333334	146	set(['PCDHA8', 'ATR', 'ELMO1'])	8.0637635928726167e-16	CooccurringCooccurringCooccurring	PCDHA8	ATR	ELMO1	9	Cooccurring	Cooccurring	0.3111111111111111
False	0	6	7	3	11	False	1	Cooccurring	244.0	21.120734294583418	0.0625	70.89681083461723	10.324778276886004	16	0	Cooccurring	32.071289621611704	False	0	inf	0.1875	[7, 6, 11]	3	171.0468779819291	False	6.866666666666667	154	set(['ODZ3', 'SKIV2L', 'SLIT3'])	5.0507354683709479e-18	CooccurringCooccurringCooccurring	ODZ3	SKIV2L	SLIT3	12	Cooccurring	Cooccurring	0.2978021978021978
False	0	7	11	3	11	False	4	Cooccurring	243.0	21.282619125870642	0.18181818181818182	106.44278204728049	18.784020361284792	22	0	Cooccurring	32.10080305290021	False	0	inf	0.13636363636363635	[11, 7, 11]	3	235.40588905460157	False	5.666666666666667	156	set(['SLIT3', 'ODZ3', 'CABIN1'])	3.8142336654241847e-14	CooccurringCooccurringCooccurring	SLIT3	ODZ3	CABIN1	16	Cooccurring	Cooccurring	0.21453634085213033
