Gene0	Gene1	Probability	Weight
RALGDSloss	CYTSBloss	0.0123651990914	4.39286927694
FANCAloss	NOTCH2loss	9.63732070865e-05	9.24728232977
MYST4loss	KMT2Aloss	0.000762214482284	7.17928256907
CEP110loss	HIST1H3Bloss	0.0394537739224	3.23262557283
MYST4loss	NRASloss	0.0495048601944	3.00568442848
NCOA4loss	MYST4loss	0.00375113924228	5.58569568719
MALAT1loss	HLA-Aloss	0.0309000085543	3.47699881824
MLL3loss	SSX1loss	0.0297570572486	3.51468895668
NOTCH2loss	CBFA2T3loss	2.79395137191e-05	10.4854686088
SUZ12loss	CYTSBloss	0.00662364125578	5.01711002161
MLL3loss	GOPCloss	0.0307406487208	3.48216943762
MLL3loss	XPCloss	0.0262068628217	3.64173396275
MLL3loss	CBLloss	0.042069849273	3.16842396415
CEP110loss	TRIM27loss	0.0436189543297	3.13226349076
CBFBloss	HLA-Aloss	0.0382054916845	3.26477601233
MALAT1loss	MYST4loss	0.0454022361505	3.09219392073
CEP110loss	SSX4loss	0.0448402015834	3.10465018517
AKT1loss	MYST4loss	0.00583181633169	5.14442677797
CYTSBloss	CNTRLloss	0.0131254669801	4.3332008917
MYST4loss	SSX4loss	0.0024050407232	6.03018844284
KLF6loss	MLL3loss	0.0154073333276	4.1729116928
GATA1loss	MYST4loss	0.0388431390027	3.24822382001
RPL22loss	HLA-Aloss	0.00736850997317	4.91053976783
SSX2loss	CYTSBloss	0.00588433958198	5.13546076513
KMT2Dloss	MYST4loss	0.00715631295776	4.93976038068
CDKN1Bloss	MYST4loss	0.00205871249066	6.18567449611
CHEK2loss	CYTSBloss	0.00252198650774	5.98270839128
FLT3loss	MLLloss	0.0492476284359	3.01089406611
CEP110loss	MLLT3loss	0.0179696596882	4.01907051614
MLL3loss	KLK2loss	0.00740171902966	4.90604300445
XPAloss	CYTSBloss	0.0125638518709	4.37693148734
OMDloss	MLLloss	0.0457953727698	3.08357222419
BCL7Aloss	CYTSBloss	0.0193255528675	3.94632707599
TAL2loss	CYTSBloss	0.0153089868947	4.17931524429
MYST4loss	STAT3loss	0.0167664761085	4.0883738559
MLL2loss	SMARCD1loss	0.00103725238727	6.87117999722
NKX2-1loss	HMGN2P46loss	0.0243134252717	3.71672660088
CEP110loss	SSX1loss	0.0413953768981	3.18458607351
NF2loss	MYST4loss	0.000466174170222	7.67095123783
EP300loss	CYTSBloss	0.0357104868505	3.33231088402
FANCAloss	BCL9loss	0.0190895495553	3.95861423737
MLL3loss	ETV6loss	0.0223854172798	3.79934554642
CLP1loss	HLA-Aloss	0.00261793217367	5.94537051952
EWSR1loss	MYST4loss	0.00764013958853	4.87433940522
MYST4loss	NUTM2Aloss	0.00346741165874	5.66434688303
CCDC123loss	KMT2Aloss	0.0483989480456	3.02827720009
CEP110loss	KCNJ5loss	0.032749610117	3.4188642218
MYCL1loss	NRASloss	0.0375423198426	3.28228645318
SDHAF2loss	MYST4loss	0.0322501338753	3.43423308458
FAM123Bloss	CEBPAloss	0.024803078665	3.6967874938
MYST4loss	CDX2loss	0.0168823066614	4.08148914859
KAT6Bloss	MLL3loss	0.0274978528435	3.59364735578
AMER1loss	MLL3loss	0.0204176124041	3.89135739747
HERPUD1loss	BCL9loss	0.0302353637064	3.49874305601
MLL3loss	GMPSloss	0.0214893513967	3.84019775042
VTI1Aloss	CYTSBloss	0.0129840469791	4.34403383054
